LocationID	SiteID	Treatment	Label	Type	TreePerimeter	Lat	Long	Aspect	DistIsland	DistReef	TreesWithin50	Timepoint	GroupingProb	Grouping	MedGroupProb	Maxgroupsize	TotalGroupingFish	Predominantspecies
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	1	0	n	0.25	8	8	Lutjanussp.
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	2	0	n	0.25	6	6	Lutjanussp.
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	3	0	n	0.25	6	6	Lutjanussp.
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	4	0	n	0.25	0	0	nogroup
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	5	0	n	0.25	0	0	nogroup
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	6	0	n	0.25	0	0	nogroup
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	7	0	n	0.25	18	18	Abudefdufsexfasciatus
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	8	100	y	0.25	20	20	Abudefdufsexfasciatus
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	9	0	n	0.25	11	11	Abudefdufsexfasciatus
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	10	100	y	0.25	20	20	Abudefdufsexfasciatus
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	11	0	n	0.25	13	13	Abudefdufsexfasciatus
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	12	0	n	0.25	15	15	Abudefdufsexfasciatus
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	13	100	y	0.25	25	25	Abudefdufsexfasciatus
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	14	0	n	0.25	19	19	Abudefdufsexfasciatus
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	15	100	y	0.25	21	21	Abudefdufsexfasciatus
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	16	100	y	0.25	23	23	Abudefdufsexfasciatus
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	17	0	n	0.25	16	16	Abudefdufsexfasciatus
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	18	0	n	0.25	18	18	Abudefdufsexfasciatus
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	19	0	n	0.25	17	17	Abudefdufsexfasciatus
5	4	a	5TL	large	21	-18.173314	178.521103	e	316.9751125	456.28802	0	20	0	n	0.25	17	17	Abudefdufsexfasciatus
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	1	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	2	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	3	0	n	0	0	0	nogroup
4	5	b	4NTL	control	na	-18.172767	178.520465	na	251.0821168	544.417838	4	4	0	n	0	0	0	nogroup
